region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000001,gdhi_per_head_gbp,1997,9107.0,,,,
E12000001,gdhi_total_mn_gbp,1997,23387.0,,,,
E12000002,gdhi_per_head_gbp,1997,9608.0,,,,
E12000002,gdhi_total_mn_gbp,1997,65278.0,,,,
E12000003,gdhi_per_head_gbp,1997,9482.0,,,,
E12000003,gdhi_total_mn_gbp,1997,47006.0,,,,
E12000004,gdhi_per_head_gbp,1997,9672.0,,,,
E12000004,gdhi_total_mn_gbp,1997,39850.0,,,,
E12000005,gdhi_per_head_gbp,1997,9681.0,,,,
E12000005,gdhi_total_mn_gbp,1997,50945.0,,,,
E12000006,gdhi_per_head_gbp,1997,11164.0,,,,
E12000006,gdhi_total_mn_gbp,1997,58801.0,,,,
E12000007,gdhi_per_head_gbp,1997,12898.0,,,,
E12000007,gdhi_total_mn_gbp,1997,90477.0,,,,
E12000008,gdhi_per_head_gbp,1997,12683.0,,,,
E12000008,gdhi_total_mn_gbp,1997,99604.0,,,,
E12000009,gdhi_per_head_gbp,1997,10914.0,,,,
E12000009,gdhi_total_mn_gbp,1997,52685.0,,,,
N92000002,gdhi_per_head_gbp,1997,8567.0,,,,
N92000002,gdhi_total_mn_gbp,1997,14318.0,,,,
S92000003,gdhi_per_head_gbp,1997,9581.0,,,,
S92000003,gdhi_total_mn_gbp,1997,48705.0,,,,
W92000004,gdhi_per_head_gbp,1997,9264.0,,,,
W92000004,gdhi_total_mn_gbp,1997,26817.0,,,,
E12000001,gdhi_per_head_gbp,1998,9150.0,,,,
E12000001,gdhi_total_mn_gbp,1998,23431.0,,,,
E12000002,gdhi_per_head_gbp,1998,9752.0,,,,
E12000002,gdhi_total_mn_gbp,1998,66235.0,,,,
E12000003,gdhi_per_head_gbp,1998,9729.0,,,,
E12000003,gdhi_total_mn_gbp,1998,48233.0,,,,
E12000004,gdhi_per_head_gbp,1998,9849.0,,,,
E12000004,gdhi_total_mn_gbp,1998,40703.0,,,,
E12000005,gdhi_per_head_gbp,1998,9974.0,,,,
E12000005,gdhi_total_mn_gbp,1998,52576.0,,,,
E12000006,gdhi_per_head_gbp,1998,11340.0,,,,
E12000006,gdhi_total_mn_gbp,1998,60124.0,,,,
E12000007,gdhi_per_head_gbp,1998,13329.0,,,,
E12000007,gdhi_total_mn_gbp,1998,94173.0,,,,
E12000008,gdhi_per_head_gbp,1998,12905.0,,,,
E12000008,gdhi_total_mn_gbp,1998,101808.0,,,,
E12000009,gdhi_per_head_gbp,1998,11127.0,,,,
