region,region_code,metric,year,value,source,data_type,ci_lower,ci_upper,method,quality_metrics
North East,E12000001,gdhi_per_head_gbp,1997,9107.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,1997,23387.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,1997,9608.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,1997,65278.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,1997,9482.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,1997,47006.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,1997,9672.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,1997,39850.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,1997,9681.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,1997,50945.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,1997,11164.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,1997,58801.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,1997,12898.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,1997,90477.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,1997,12683.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,1997,99604.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,1997,10914.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,1997,52685.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,1997,8567.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,1997,14318.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,1997,9581.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,1997,48705.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,1997,9264.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,1997,26817.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,1998,9150.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,1998,23431.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,1998,9752.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,1998,66235.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,1998,9729.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,1998,48233.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,1998,9849.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,1998,40703.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,1998,9974.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,1998,52576.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,1998,11340.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,1998,60124.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,1998,13329.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,1998,94173.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,1998,12905.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,1998,101808.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,1998,11127.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,1998,53962.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,1998,8590.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,1998,14413.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,1998,9792.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,1998,49714.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,1998,9297.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,1998,26957.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,1999,9494.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,1999,24212.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,1999,10261.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,1999,69497.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,1999,10199.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,1999,50550.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,1999,10285.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,1999,42710.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,1999,10351.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,1999,54568.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,1999,11819.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,1999,63096.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,1999,14169.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,1999,101362.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,1999,13339.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,1999,106113.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,1999,11525.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,1999,56252.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,1999,8919.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,1999,14975.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,1999,10156.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,1999,51508.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,1999,9721.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,1999,28198.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2000,9987.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2000,25401.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2000,10710.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2000,72551.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2000,10629.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2000,52703.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2000,10672.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2000,44483.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2000,10808.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2000,56955.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2000,12441.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2000,66870.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2000,15207.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2000,110047.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2000,14039.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2000,112177.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2000,11959.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2000,58802.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2000,9383.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2000,15791.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2000,10751.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2000,54432.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2000,10277.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2000,29875.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2001,10448.0,income,historical,,,,
