"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","COMPONENT_OF_GDHI","COMPONENT_OF_GDHI_NAME","COMPONENT_OF_GDHI_CODE","COMPONENT_OF_GDHI_TYPE","COMPONENT_OF_GDHI_TYPECODE","COMPONENT_OF_GDHI_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1997","1997","1997","date",0,0,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",23387,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265921d0d1d20100",0,624
"1997","1997","1997","date",0,0,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9107,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265921d0d2d20100",1,624
"1997","1997","1997","date",0,0,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",65278,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265922d0d1d20100",2,624
"1997","1997","1997","date",0,0,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9608,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265922d0d2d20100",3,624
"1997","1997","1997","date",0,0,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",47006,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265923d0d1d20100",4,624
"1997","1997","1997","date",0,0,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9482,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265923d0d2d20100",5,624
"1997","1997","1997","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",39850,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265924d0d1d20100",6,624
"1997","1997","1997","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9672,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265924d0d2d20100",7,624
"1997","1997","1997","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",50945,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265925d0d1d20100",8,624
"1997","1997","1997","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9681,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265925d0d2d20100",9,624
